edge,p_value,Gene1,Gene2
PELP1+TAF6,2.6027283184184454e-06,PELP1,TAF6
RPLP0+WDR31,2.673645327495182e-06,RPLP0,WDR31
MRPL11+RPL35,2.7450470807493083e-06,MRPL11,RPL35
PPP2R1A+SHOC2,2.7688734624578306e-06,PPP2R1A,SHOC2
RPS11+WDR31,2.8388973194624115e-06,RPS11,WDR31
RPL11+RPL13,2.840395488384574e-06,RPL11,RPL13
ENAM+FAM83H,2.852017312435454e-06,ENAM,FAM83H
MAPK3+MAPT,2.894756091067444e-06,MAPK3,MAPT
ARRB1+RAF1,2.9131725417821453e-06,ARRB1,RAF1
KCNH6+KCNQ2,2.941132390568538e-06,KCNH6,KCNQ2
NOP58+TFB2M,2.945461279547059e-06,NOP58,TFB2M
RPS3+WDR31,2.9731861542956625e-06,RPS3,WDR31
GATA3+LDB1,3.0064694586836343e-06,GATA3,LDB1
GABBR2+RAMP1,3.0243965160136193e-06,GABBR2,RAMP1
C4A+MASP1,3.040980326020447e-06,C4A,MASP1
MAP2+RBFOX3,3.067410111198008e-06,MAP2,RBFOX3
RPL13+WDR31,3.0758914812534013e-06,RPL13,WDR31
MRPL11+RPS6,3.140552093016423e-06,MRPL11,RPS6
CENPA+NEK2,3.1455275418172924e-06,CENPA,NEK2
CWC22+CWC25,3.1619348540068734e-06,CWC22,CWC25
RPL9+WDR31,3.1870285838806468e-06,RPL9,WDR31
ENAM+KLK4,3.212388045378525e-06,ENAM,KLK4
PCNA+RFC1,3.237863404345939e-06,PCNA,RFC1
PARP14+PARP16,3.2444933853331157e-06,PARP14,PARP16
EP300+ERCC8,3.2522893869567957e-06,EP300,ERCC8
AMBN+ENAM,3.2921838090409892e-06,AMBN,ENAM
ACVR1+AMHR2,3.322381109037742e-06,ACVR1,AMHR2
DTL+RFC1,3.3245710542225246e-06,DTL,RFC1
CKAP5+KIF11,3.3337608400923956e-06,CKAP5,KIF11
PCGF2+RBBP4,3.3446710745391037e-06,PCGF2,RBBP4
MRPL11+RPS18,3.435277565524874e-06,MRPL11,RPS18
DHX16+LSM6,3.503245894391468e-06,DHX16,LSM6
CENPF+CKAP2L,3.5141957809000353e-06,CENPF,CKAP2L
PSMC1+RPS6,3.5385241838035313e-06,PSMC1,RPS6
AP2A1+AP3M1,3.5857908244427397e-06,AP2A1,AP3M1
FANCA+RAD1,3.5934588257594324e-06,FANCA,RAD1
COX10+COX5A,3.636436175408629e-06,COX10,COX5A
GCKR+NUP37,3.6987592227040014e-06,GCKR,NUP37
AP2B1+UBQLN2,3.729330039866063e-06,AP2B1,UBQLN2
MRPL11+RPL7,3.7462648114072017e-06,MRPL11,RPL7
MPHOSPH10+NCL,3.79732161256157e-06,MPHOSPH10,NCL
GEMIN5+NAIF1,3.8131565792286014e-06,GEMIN5,NAIF1
MRPL11+RPS24,3.8157354314236885e-06,MRPL11,RPS24
CAMK2B+RAB28,3.838699153156217e-06,CAMK2B,RAB28
HSP90AA1+PRKDC,3.852793602997247e-06,HSP90AA1,PRKDC
CD80+PIK3CA,3.8629690132813075e-06,CD80,PIK3CA
PLCD1+SACM1L,3.885884246310885e-06,PLCD1,SACM1L
GATA1+TCF3,3.980360442063015e-06,GATA1,TCF3
GALNT12+MUC12,3.9888832371861695e-06,GALNT12,MUC12
DDX20+SNRPD2,4.039410751476653e-06,DDX20,SNRPD2
MRPL11+RPLP2,4.075089874416281e-06,MRPL11,RPLP2
PRPF3+SNRNP70,4.106023098079647e-06,PRPF3,SNRNP70
LARP6+STRAP,4.1272060603407194e-06,LARP6,STRAP
RPL36AL+WDR31,4.157257430803973e-06,RPL36AL,WDR31
RPL8+WDR31,4.172920309497378e-06,RPL8,WDR31
MRPL11+RPS15,4.187257661980486e-06,MRPL11,RPS15
MTMR14+PIP4K2A,4.210198280749036e-06,MTMR14,PIP4K2A
RPLP1+WDR31,4.2275795957151725e-06,RPLP1,WDR31
MRPL11+RPL3,4.279279479524509e-06,MRPL11,RPL3
PSMC1+RPS12,4.344849910161247e-06,PSMC1,RPS12
FHL2+OBSCN,4.356693662180679e-06,FHL2,OBSCN
MAD2L1+UBE2C,4.398931835627875e-06,MAD2L1,UBE2C
CEP55+NCAPH,4.418927536257283e-06,CEP55,NCAPH
CRKL+IKBKB,4.427417148134819e-06,CRKL,IKBKB
NTS+NTSR1,4.448879022634135e-06,NTS,NTSR1
MRPL11+RPL11,4.473286362078763e-06,MRPL11,RPL11
TRPC1+TRPC5,4.51054673573923e-06,TRPC1,TRPC5
ASF1B+SSRP1,4.543483125095532e-06,ASF1B,SSRP1
CSK+PRKAR1B,4.557887000227814e-06,CSK,PRKAR1B
PSMC1+RPS18,4.570331739867785e-06,PSMC1,RPS18
POLR1C+WDR46,4.60207754277514e-06,POLR1C,WDR46
EXOSC2+MRTO4,4.639588020403382e-06,EXOSC2,MRTO4
MORF4L1+SUDS3,4.6633512973360704e-06,MORF4L1,SUDS3
EPS15+HIP1R,4.675976734300321e-06,EPS15,HIP1R
RPSA+WDR31,4.699398536089008e-06,RPSA,WDR31
CDC45+MND1,4.715716435094651e-06,CDC45,MND1
RPL19+WDR31,4.722285970227527e-06,RPL19,WDR31
RPS9+WDR31,4.744197089853243e-06,RPS9,WDR31
RPL10+WDR31,4.7472606604670915e-06,RPL10,WDR31
BCS1L+COX4I2,4.769002626367713e-06,BCS1L,COX4I2
AHCTF1+NUP54,4.819180226230434e-06,AHCTF1,NUP54
MRPL11+RPL34,4.873477889075581e-06,MRPL11,RPL34
MRPL11+RPS11,4.87478059515134e-06,MRPL11,RPS11
ACVR2A+GDF6,5.002218820981276e-06,ACVR2A,GDF6
LCP2+SHC1,5.032961956167397e-06,LCP2,SHC1
LEMD3+WIF1,5.0505108417716335e-06,LEMD3,WIF1
RPS14+WDR31,5.065076083316521e-06,RPS14,WDR31
CKS2+NEK2,5.1087993894901495e-06,CKS2,NEK2
PSMC1+RPL7,5.128469378606495e-06,PSMC1,RPL7
APOA2+TGS1,5.199087574506138e-06,APOA2,TGS1
CPSF3+ZC3H8,5.229863443160472e-06,CPSF3,ZC3H8
ABCB7+NFS1,5.233193438814043e-06,ABCB7,NFS1
KIF11+ZWINT,5.269448156866911e-06,KIF11,ZWINT
MRPL11+RPS3,5.3507083269765115e-06,MRPL11,RPS3
RPL13+RPL7,5.476078702047692e-06,RPL13,RPL7
RFC2+TIPIN,5.479157729472706e-06,RFC2,TIPIN
GNAI1+MTNR1B,5.4833528914277595e-06,GNAI1,MTNR1B
NUF2+RFC4,5.483639639952435e-06,NUF2,RFC4
CD4+GATA3,5.505517324851939e-06,CD4,GATA3
MRPL11+RPL13,5.527906656381464e-06,MRPL11,RPL13
PPP2R5D+PRKAR1B,5.579537546473805e-06,PPP2R5D,PRKAR1B
KIF17+LIN7C,5.585769882767821e-06,KIF17,LIN7C
TCTN1+TMEM107,5.601642087541998e-06,TCTN1,TMEM107
ALDH3B2+COMT,5.602635433646478e-06,ALDH3B2,COMT
DDO+HAO2,5.63536657463962e-06,DDO,HAO2
RPS19+WDR31,5.639249168186837e-06,RPS19,WDR31
ARF1+COPB2,5.664076284425545e-06,ARF1,COPB2
DDX20+NUP107,5.7071387842254616e-06,DDX20,NUP107
CACNA1B+CACNB1,5.7382219387366435e-06,CACNA1B,CACNB1
DHX9+HNRNPR,5.738507075545955e-06,DHX9,HNRNPR
MRPL11+RPL10A,5.833471526123633e-06,MRPL11,RPL10A
MRPL11+RPL9,5.864050407087031e-06,MRPL11,RPL9
KCNH6+KCNQ5,5.8772612860210115e-06,KCNH6,KCNQ5
CHMP7+VPS37C,5.889659334432816e-06,CHMP7,VPS37C
RPA3+TOPBP1,5.903079319307582e-06,RPA3,TOPBP1
FBL+RUVBL1,5.909836901334936e-06,FBL,RUVBL1
MDM4+RCHY1,5.916827397529812e-06,MDM4,RCHY1
PSMB11+PSMC1,5.951770246831488e-06,PSMB11,PSMC1
PLK1+RRM2,5.9523480564777024e-06,PLK1,RRM2
TRPC3+TRPM4,5.965631778008974e-06,TRPC3,TRPM4
GCKR+SEH1L,6.061867027540763e-06,GCKR,SEH1L
PRDM14+TFAP2C,6.064627023102304e-06,PRDM14,TFAP2C
FTSJ3+TFB2M,6.07459022127623e-06,FTSJ3,TFB2M
CGA+TFAP2C,6.1388917225192685e-06,CGA,TFAP2C
MRPL11+RPLP1,6.2233907411848545e-06,MRPL11,RPLP1
FYTTD1+THOC5,6.2290812736053375e-06,FYTTD1,THOC5
ELOVL1+ELOVL4,6.351286058371727e-06,ELOVL1,ELOVL4
MRPL11+RPS21,6.4279866787318325e-06,MRPL11,RPS21
ALG14+ALG2,6.445543801813935e-06,ALG14,ALG2
LIN9+RBBP7,6.486701548981044e-06,LIN9,RBBP7
TTC37+TTC7B,6.489580279461e-06,TTC37,TTC7B
BACE1+SNX6,6.504661574733165e-06,BACE1,SNX6
SF3B4+SNRPF,6.518765875536679e-06,SF3B4,SNRPF
CLCN7+TCIRG1,6.530913125264612e-06,CLCN7,TCIRG1
UBE2A+UBE2U,6.542062982708999e-06,UBE2A,UBE2U
PHB2+RAF1,6.600455665884101e-06,PHB2,RAF1
BIRC2+MAP3K7,6.659427991689206e-06,BIRC2,MAP3K7
FZD10+WNT5A,6.665384344680302e-06,FZD10,WNT5A
SBSN+SCG5,6.686897448604738e-06,SBSN,SCG5
FZD5+WNT2B,6.724311629749254e-06,FZD5,WNT2B
CENPF+GINS2,6.725741521495663e-06,CENPF,GINS2
PSMC1+RPS11,6.762001871766236e-06,PSMC1,RPS11
EIF2S3+EIF4G3,6.8077081471280715e-06,EIF2S3,EIF4G3
CFTR+F2,6.841251913269922e-06,CFTR,F2
WNT16+WNT5A,6.861647112266858e-06,WNT16,WNT5A
LHX3+RLIM,6.863396508416962e-06,LHX3,RLIM
ECT2+KIF14,6.990042381664491e-06,ECT2,KIF14
GALNT1+MUCL1,7.1798745458831106e-06,GALNT1,MUCL1
ATP2A2+MYH6,7.286786560765907e-06,ATP2A2,MYH6
PSMC1+RPL11,7.289235816874089e-06,PSMC1,RPL11
TAF7+TAF8,7.338345583253024e-06,TAF7,TAF8
