Gene1,Gene2,p_value
FCHSD1,SNX9,3.900000435625856e-07
PRPF6,PRPF8,3.915047702242355e-07
KITLG,ORC1,4.105042837421772e-07
UBA1,UBE2V2,4.228227359427263e-07
COMMD8,GABRB1,4.3863196993281346e-07
ELP6,PIPOX,4.523816089791659e-07
SLC22A1,SLCO1B1,4.814470299609753e-07
ADAMTS1,THSD1,5.067289888640286e-07
CDT1,TOPBP1,5.141172573666829e-07
PIGH,PIGL,5.147591210382156e-07
IFI44L,OASL,5.23774476235434e-07
EIF3B,GTPBP4,5.297364899071107e-07
COMMD2,UBE2D3,5.418849927051365e-07
RPL24,WDR31,5.779037753771162e-07
PSMB1,PSMC1,5.99101724433283e-07
PEX11G,SLC25A17,6.069774456571076e-07
DDX20,SNRPG,6.16981161995282e-07
RPA3,XRCC6,6.197775206608357e-07
APOO,MTX2,6.492729070232819e-07
SRSF11,SRSF4,6.606814591711567e-07
RBPJ,RUNX3,6.687079379225272e-07
MRPL11,RPL23,6.875693706270956e-07
MED16,MED6,7.00151832886567e-07
CCNA2,SKA3,7.051477382981518e-07
MAP1LC3C,TECPR2,7.19559067481207e-07
DHX16,LSM3,7.293436441376729e-07
UBE2D2,UBE2U,7.470290965501917e-07
POLR2J,SF3B5,7.472544739303328e-07
PPP1R10,SHOC2,7.513488576498254e-07
RPL36,WDR31,7.535818502024447e-07
IFT81,KIF3B,7.636176051846555e-07
CNOT3,TNKS1BP1,7.670772477152552e-07
NCAPG,SKA3,7.824781392514222e-07
NOX1,TRADD,8.021318351242863e-07
CEBPZ,WDR12,8.086137746244525e-07
IARS2,PARS2,8.184843174372571e-07
LSM6,PRPF3,8.317099313918624e-07
MAD2L1,PLK1,8.432542940904974e-07
CDC45,TIPIN,8.469603338158567e-07
ADAMTSL5,THSD1,8.740416056864271e-07
EEF2,RPL11,8.766084035778425e-07
FANCI,RFC2,8.862465599536751e-07
NACA2,SF3B1,8.872988332444932e-07
CDK1,SMC3,8.994949316299015e-07
MAD2L1,NEK2,9.223112385003944e-07
CDC27,PCGF2,9.539174889492031e-07
DCAF12L1,DDB1,9.73976959998577e-07
ABAT,ALDH3B2,1.0014138564154258e-06
TACR1,UBQLN2,1.0162896186915642e-06
CNFN,ZDHHC13,1.0204766481237443e-06
MRPL11,RPL24,1.0642407788827227e-06
RPL12,WDR31,1.1064715458222148e-06
SPDL1,ZW10,1.1398610820036864e-06
PSMC1,RPL23,1.1539062794925472e-06
SPTB,SPTBN4,1.165179452309416e-06
RPL35,WDR31,1.1792025067325315e-06
UBE2K,UBE2U,1.1794087100374951e-06
CSNK1A1,SUFU,1.1937056825985698e-06
UBE2J2,UBE2U,1.2134921415373531e-06
AGO3,RPP40,1.2186607720950035e-06
LGR4,UBB,1.2358336112840971e-06
GATA3,MYB,1.2389306890886278e-06
HSP90AA1,MLKL,1.2651580778998275e-06
GCKR,TMC4,1.2743467075553846e-06
EPN2,KDR,1.296520167176826e-06
MYB,POLR2F,1.3093471042113128e-06
ARSI,ARSK,1.3523838884085544e-06
CD22,GAL,1.3577380717782074e-06
KIF18A,NEK2,1.3605665956939203e-06
POLR2B,TAF12,1.3650368200237618e-06
GALNT1,MUC21,1.369352833121686e-06
AURKA,KIF14,1.3732887147483517e-06
AEBP1,CPA6,1.378266683566708e-06
FLOT1,RAF1,1.3902355792301929e-06
IPPK,PPIP5K2,1.4156947414561268e-06
B3GALNT2,B4GALT7,1.423556529588966e-06
C8G,RTP2,1.4506092820482768e-06
DEFA3,DEFB135,1.456736491124189e-06
GLO1,PGA5,1.5045324936108685e-06
RPL27,WDR31,1.517344655094913e-06
TGFB2,TGFBR2,1.588038516396998e-06
CCNB1,SKA3,1.6397541276186903e-06
NEK2,PPP1CC,1.6403728382100156e-06
GNAI1,GNGT2,1.6475607479237198e-06
LGR4,UBC,1.6625088670138723e-06
RPL3,WDR31,1.67432837480722e-06
IL5RA,PIK3CA,1.6754325260370726e-06
FBXO33,PACRG,1.6756320662789597e-06
GCKR,MEPE,1.6866192816842862e-06
EXOSC2,UTP18,1.6915104672736062e-06
MRPL11,RPL36,1.7118096188211707e-06
RPL34,WDR31,1.7452662757130353e-06
CACNG8,SHISA9,1.7704328251185888e-06
SCN1B,TRPM4,1.7870818400900815e-06
RPL7A,WDR31,1.818564859219311e-06
RPL6,WDR31,1.8263897673197497e-06
AMFR,HERPUD1,1.8275499491013864e-06
BCAS2,PRKRIP1,1.8552259097086308e-06
RPS18,WDR31,1.856432118973529e-06
C8B,C8G,1.8654948938471509e-06
DTL,HMMR,1.8672486077929708e-06
APP,ARC,1.8718743800183311e-06
KRAS,NRG3,1.8723351343163709e-06
DAZAP2,SLAIN1,1.889681843273003e-06
RPS6,WDR31,1.9145030533508123e-06
AK3,PDE4A,1.95548691687678e-06
MRPL11,WDR31,1.9771858944211026e-06
UBE2D3,UBE2G1,1.9956581336021395e-06
KCNH6,KCNQ3,2.0081185436699924e-06
EEF2,WDR31,2.0220694437509564e-06
MYB,TAL1,2.060553600733878e-06
CDK8,MED31,2.0855266832572427e-06
RPL7,WDR31,2.104055490602396e-06
ADARB2,AMPD2,2.131464092771999e-06
KCNG4,KCNH6,2.132992087683496e-06
PRKDC,UBA52,2.133680392157928e-06
NPHP1,TMEM216,2.138089905496382e-06
MPV17,PIPOX,2.164717166730595e-06
RPS15,WDR31,2.175612116082452e-06
RPL10A,WDR31,2.197298661516646e-06
ATXN3,CACNA1A,2.2042588235934e-06
NXNL2,TTC27,2.2204368536016536e-06
IL34,TNFSF11,2.2576799031300247e-06
MVB12A,UBAP1,2.2589048920310336e-06
DPF3,PBRM1,2.2765372619675608e-06
CUL1,DTL,2.2945809126939748e-06
RPS24,WDR31,2.3094445411923383e-06
CEP55,KIF14,2.321491375233419e-06
RPS12,WDR31,2.3314414583338183e-06
SEMG2,WFDC12,2.335478184991749e-06
RPL14,WDR31,2.3389800623161405e-06
CLNS1A,DDX20,2.3396026134125928e-06
RPL11,WDR31,2.382317111363748e-06
CCDC113,CCDC125,2.390515424479851e-06
CST3,CSTA,2.392415424221283e-06
DPP4,PYY,2.396258056087748e-06
TMCO1,TMCO2,2.3998595617740037e-06
ADH5,UGT2B4,2.422075811149155e-06
GATA1,MYB,2.4676555343360357e-06
ADAMTS13,THSD1,2.4723393878712592e-06
NUDT17,NUDT22,2.4817058412881896e-06
UBA52,WDR31,2.5313277328971324e-06
NAA38,SNRPD1,2.554759645612982e-06
KCNA4,KCNH6,2.574143786034774e-06
PELP1,TAF6,2.6027283184184454e-06
RPLP0,WDR31,2.673645327495182e-06
MRPL11,RPL35,2.7450470807493083e-06
PPP2R1A,SHOC2,2.7688734624578306e-06
RPS11,WDR31,2.8388973194624115e-06
RPL11,RPL13,2.840395488384574e-06
ENAM,FAM83H,2.852017312435454e-06
MAPK3,MAPT,2.894756091067444e-06
ARRB1,RAF1,2.9131725417821453e-06
KCNH6,KCNQ2,2.941132390568538e-06
NOP58,TFB2M,2.945461279547059e-06
RPS3,WDR31,2.9731861542956625e-06
GATA3,LDB1,3.0064694586836343e-06
GABBR2,RAMP1,3.0243965160136193e-06
C4A,MASP1,3.040980326020447e-06
MAP2,RBFOX3,3.067410111198008e-06
RPL13,WDR31,3.0758914812534013e-06
MRPL11,RPS6,3.140552093016423e-06
CENPA,NEK2,3.1455275418172924e-06
CWC22,CWC25,3.1619348540068734e-06
RPL9,WDR31,3.1870285838806468e-06
ENAM,KLK4,3.212388045378525e-06
PCNA,RFC1,3.237863404345939e-06
PARP14,PARP16,3.2444933853331157e-06
EP300,ERCC8,3.2522893869567957e-06
AMBN,ENAM,3.2921838090409892e-06
ACVR1,AMHR2,3.322381109037742e-06
DTL,RFC1,3.3245710542225246e-06
CKAP5,KIF11,3.3337608400923956e-06
PCGF2,RBBP4,3.3446710745391037e-06
MRPL11,RPS18,3.435277565524874e-06
DHX16,LSM6,3.503245894391468e-06
CENPF,CKAP2L,3.5141957809000353e-06
PSMC1,RPS6,3.5385241838035313e-06
AP2A1,AP3M1,3.5857908244427397e-06
FANCA,RAD1,3.5934588257594324e-06
COX10,COX5A,3.636436175408629e-06
GCKR,NUP37,3.6987592227040014e-06
AP2B1,UBQLN2,3.729330039866063e-06
MRPL11,RPL7,3.7462648114072017e-06
MPHOSPH10,NCL,3.79732161256157e-06
GEMIN5,NAIF1,3.8131565792286014e-06
MRPL11,RPS24,3.8157354314236885e-06
CAMK2B,RAB28,3.838699153156217e-06
HSP90AA1,PRKDC,3.852793602997247e-06
CD80,PIK3CA,3.8629690132813075e-06
PLCD1,SACM1L,3.885884246310885e-06
GATA1,TCF3,3.980360442063015e-06
GALNT12,MUC12,3.9888832371861695e-06
DDX20,SNRPD2,4.039410751476653e-06
MRPL11,RPLP2,4.075089874416281e-06
PRPF3,SNRNP70,4.106023098079647e-06
LARP6,STRAP,4.1272060603407194e-06
RPL36AL,WDR31,4.157257430803973e-06
RPL8,WDR31,4.172920309497378e-06
MRPL11,RPS15,4.187257661980486e-06
MTMR14,PIP4K2A,4.210198280749036e-06
RPLP1,WDR31,4.2275795957151725e-06
MRPL11,RPL3,4.279279479524509e-06
PSMC1,RPS12,4.344849910161247e-06
FHL2,OBSCN,4.356693662180679e-06
MAD2L1,UBE2C,4.398931835627875e-06
CEP55,NCAPH,4.418927536257283e-06
CRKL,IKBKB,4.427417148134819e-06
NTS,NTSR1,4.448879022634135e-06
MRPL11,RPL11,4.473286362078763e-06
TRPC1,TRPC5,4.51054673573923e-06
ASF1B,SSRP1,4.543483125095532e-06
CSK,PRKAR1B,4.557887000227814e-06
PSMC1,RPS18,4.570331739867785e-06
POLR1C,WDR46,4.60207754277514e-06
EXOSC2,MRTO4,4.639588020403382e-06
MORF4L1,SUDS3,4.6633512973360704e-06
EPS15,HIP1R,4.675976734300321e-06
RPSA,WDR31,4.699398536089008e-06
CDC45,MND1,4.715716435094651e-06
RPL19,WDR31,4.722285970227527e-06
RPS9,WDR31,4.744197089853243e-06
RPL10,WDR31,4.7472606604670915e-06
BCS1L,COX4I2,4.769002626367713e-06
AHCTF1,NUP54,4.819180226230434e-06
MRPL11,RPL34,4.873477889075581e-06
MRPL11,RPS11,4.87478059515134e-06
ACVR2A,GDF6,5.002218820981276e-06
LCP2,SHC1,5.032961956167397e-06
LEMD3,WIF1,5.0505108417716335e-06
RPS14,WDR31,5.065076083316521e-06
CKS2,NEK2,5.1087993894901495e-06
PSMC1,RPL7,5.128469378606495e-06
APOA2,TGS1,5.199087574506138e-06
CPSF3,ZC3H8,5.229863443160472e-06
ABCB7,NFS1,5.233193438814043e-06
KIF11,ZWINT,5.269448156866911e-06
MRPL11,RPS3,5.3507083269765115e-06
RPL13,RPL7,5.476078702047692e-06
RFC2,TIPIN,5.479157729472706e-06
GNAI1,MTNR1B,5.4833528914277595e-06
NUF2,RFC4,5.483639639952435e-06
CD4,GATA3,5.505517324851939e-06
MRPL11,RPL13,5.527906656381464e-06
PPP2R5D,PRKAR1B,5.579537546473805e-06
KIF17,LIN7C,5.585769882767821e-06
TCTN1,TMEM107,5.601642087541998e-06
ALDH3B2,COMT,5.602635433646478e-06
DDO,HAO2,5.63536657463962e-06
RPS19,WDR31,5.639249168186837e-06
ARF1,COPB2,5.664076284425545e-06
DDX20,NUP107,5.7071387842254616e-06
CACNA1B,CACNB1,5.7382219387366435e-06
DHX9,HNRNPR,5.738507075545955e-06
MRPL11,RPL10A,5.833471526123633e-06
MRPL11,RPL9,5.864050407087031e-06
KCNH6,KCNQ5,5.8772612860210115e-06
CHMP7,VPS37C,5.889659334432816e-06
RPA3,TOPBP1,5.903079319307582e-06
FBL,RUVBL1,5.909836901334936e-06
MDM4,RCHY1,5.916827397529812e-06
PSMB11,PSMC1,5.951770246831488e-06
PLK1,RRM2,5.9523480564777024e-06
TRPC3,TRPM4,5.965631778008974e-06
GCKR,SEH1L,6.061867027540763e-06
PRDM14,TFAP2C,6.064627023102304e-06
FTSJ3,TFB2M,6.07459022127623e-06
CGA,TFAP2C,6.1388917225192685e-06
MRPL11,RPLP1,6.2233907411848545e-06
FYTTD1,THOC5,6.2290812736053375e-06
ELOVL1,ELOVL4,6.351286058371727e-06
MRPL11,RPS21,6.4279866787318325e-06
ALG14,ALG2,6.445543801813935e-06
LIN9,RBBP7,6.486701548981044e-06
TTC37,TTC7B,6.489580279461e-06
BACE1,SNX6,6.504661574733165e-06
SF3B4,SNRPF,6.518765875536679e-06
CLCN7,TCIRG1,6.530913125264612e-06
UBE2A,UBE2U,6.542062982708999e-06
PHB2,RAF1,6.600455665884101e-06
BIRC2,MAP3K7,6.659427991689206e-06
FZD10,WNT5A,6.665384344680302e-06
SBSN,SCG5,6.686897448604738e-06
FZD5,WNT2B,6.724311629749254e-06
CENPF,GINS2,6.725741521495663e-06
PSMC1,RPS11,6.762001871766236e-06
EIF2S3,EIF4G3,6.8077081471280715e-06
CFTR,F2,6.841251913269922e-06
WNT16,WNT5A,6.861647112266858e-06
LHX3,RLIM,6.863396508416962e-06
ECT2,KIF14,6.990042381664491e-06
GALNT1,MUCL1,7.1798745458831106e-06
ATP2A2,MYH6,7.286786560765907e-06
PSMC1,RPL11,7.289235816874089e-06
TAF7,TAF8,7.338345583253024e-06
NIT1,SEC24D,7.447170875483126e-06
LCK,SLA2,7.58630762482634e-06
RPL18A,WDR31,7.637453580979272e-06
BRIX1,ESF1,7.667050136883612e-06
LHX2,RLIM,7.719071454171868e-06
RLIM,UBA52,7.759245472978698e-06
MRPL11,RPL10,7.763588188803819e-06
DHX9,PRPF8,7.854979697765141e-06
BTF3,RPL28,7.899340290003576e-06
MRPL11,RPLP0,8.034995607426368e-06
MYB,POLR2I,8.080583508934487e-06
NXF1,THOC5,8.085368525089329e-06
CENPF,TROAP,8.090520137698238e-06
KDR,MAP1LC3B2,8.092931465156705e-06
MRPL11,UBA52,8.142617927575318e-06
PRKCZ,RAF1,8.150353175783129e-06
BYSL,TRMT6,8.172005199041207e-06
CUL1,FBXW5,8.179151742111078e-06
CAP1,PHLPP1,8.189874023637953e-06
PSMC1,RPS24,8.222740903388583e-06
EIF3I,WDR31,8.297813111553154e-06
HNRNPR,RPS20,8.344048113544695e-06
CCNB1,RASGRF1,8.351098980881385e-06
PTTG1,SKA3,8.36285558719257e-06
MCMDC2,TIPIN,8.575747863672437e-06
CDK7,TAF7,8.645637445759476e-06
DDX20,DICER1,8.649650132101347e-06
NUMB,PARD6A,8.711781630494404e-06
FGF20,KDR,8.79604315414945e-06
MRPL11,RPL8,8.808628565970101e-06
CTNNB1,ITGB1,8.8725495991404e-06
RPS5,WDR31,9.004514266209804e-06
MINPP1,PLCB1,9.010441961362776e-06
RGS20,RGS9,9.193795419538949e-06
COX6A2,SDHC,9.207588966939718e-06
SHISA3,SHISA6,9.212997265479152e-06
RLIM,UBB,9.285425086731769e-06
MRPL11,RPS19,9.301013436765168e-06
HAO1,IDE,9.338782435015988e-06
HNRNPR,SNRNP70,9.361710620091944e-06
AGXT2,GCLC,9.44131775807377e-06
MRPL11,RPL36AL,9.614028168332916e-06
RPL22L1,WDR31,9.635856133665357e-06
GNL3,TFB2M,9.648581724174438e-06
CACNA1G,CACNA1I,9.65035753568246e-06
DDX20,SNRNP70,9.745000569594148e-06
EDAR,PAX9,9.781085608700706e-06
GDPD3,SEZ6L2,9.871862992359004e-06
CNIH1,GSG1L,9.890685018008484e-06
KIF11,PCNA,9.91744762550794e-06
IL4I1,MAT2B,1.008434388738192e-05
PSMC1,RPS19,1.0093498508512015e-05
NEU2,SVOPL,1.0156074922160988e-05
MRPL11,RPL19,1.0233576129639029e-05
RSL1D1,TRUB2,1.0482095986700952e-05
PRKAR1B,PXN,1.0745534671719625e-05
PROC,PROS1,1.0806246433055258e-05
MYBPH,TLR2,1.086777916416726e-05
UBE2U,UBE2V2,1.094969954165938e-05
AMHR2,GDF6,1.1006659420645134e-05
MRPL11,RPS20,1.1024942587205946e-05
CCND1,PSMC1,1.1074716663149084e-05
TBC1D15,TPH2,1.1175195340376443e-05
MRPL11,RPS14,1.1271894233566252e-05
COPB2,SEC24D,1.1289097874422302e-05
FN1,TUBB4A,1.1334158448752984e-05
MOK,ZNF239,1.140750878269132e-05
TAF12,TAF1L,1.1522928119024829e-05
BAG6,RNF126,1.1589022747057588e-05
HSP90AA1,KIAA1109,1.1628098549058646e-05
DDX20,SNRPB,1.188077882258727e-05
CDK1,SMC1A,1.188078089974548e-05
RAD51C,TOPBP1,1.1975161119165223e-05
COX10,CYC1,1.1982660468934006e-05
CCND1,GATA3,1.2252032728249327e-05
DDX20,FOXL2,1.2264046171499292e-05
CBL,RAP1B,1.234922486547332e-05
HNRNPR,HNRNPU,1.239989284775793e-05
RPS23,WDR31,1.2431753892817295e-05
DDX20,SNRPE,1.2565434879136566e-05
KIT,MATK,1.260683534569515e-05
LSM6,PPP1R42,1.2800817654276318e-05
MPHOSPH10,NMD3,1.2874495737767e-05
MRPL11,RPL37A,1.290827758591167e-05
MAGOH,SAP18,1.2969251425215797e-05
PSMC1,RPL8,1.3020482505928237e-05
PRKACG,SLC8A2,1.322810522619998e-05
PRPF3,SF3B5,1.3235348337809883e-05
TAF12,TAF4,1.341376206401653e-05
CPB1,PLG,1.3439747381856652e-05
ARC,JUND,1.345790971078108e-05
CNGA2,CNGA4,1.360210373395462e-05
POLR2C,POLR2I,1.367539316160658e-05
HNRNPK,RBM42,1.3677082347705076e-05
LCN1,SCGB1A1,1.3809682904066246e-05
PPP2R5C,WNT3A,1.3847943722791357e-05
NMD3,WDR12,1.3873266583713086e-05
DOT1L,SETD7,1.3914073051802516e-05
CEP135,TUBG1,1.395179298760637e-05
PPAT,PRPS2,1.3958462519150862e-05
GEMIN5,NUP37,1.4130767722022902e-05
RBM28,TTC27,1.41955521066648e-05
KIF14,TOP2A,1.4217196497584564e-05
UBE2Q1,UBE2V2,1.4317389394253431e-05
RAD51,RFC1,1.4351266024310684e-05
ERCC1,PNKP,1.4395410995870866e-05
NFATC1,PRKACB,1.442684419038861e-05
C4A,PROS1,1.4513236805355218e-05
NFATC1,STAT3,1.4567172424822116e-05
PHIP,TBC1D30,1.4571973026668482e-05
ACTN2,NRAS,1.4652772157739252e-05
CPSF3,SNRPF,1.4668693071865402e-05
MERTK,TULP1,1.468092529161036e-05
CUL1,FBXO46,1.4747070759846609e-05
MRPL11,RPL21,1.4859654637570538e-05
DDX58,NLRX1,1.5167678274148638e-05
CDT1,MCM3,1.5195056691290123e-05
CDCA3,FOXM1,1.5312007668281248e-05
CD86,IL1R2,1.533444662215106e-05
ADAMTS8,THSD1,1.5475209771792706e-05
PSMC1,UBC,1.5658690400666536e-05
PIEZO1,STOML3,1.5729868061858575e-05
CTNNA1,FGFR1,1.5867606299258617e-05
DYNC1H1,KIF11,1.5921519002371274e-05
BID,CAPN2,1.6048365010446977e-05
CDC40,TCERG1,1.614872876284642e-05
STT3B,TMED10,1.6257866836456314e-05
PSMC1,UBB,1.6485655041355585e-05
RPL18,RPL28,1.6794530844869444e-05
TRAPPC11,TRAPPC2,1.698522209273804e-05
AMFR,HSPA5,1.703356729282016e-05
GATA2,LYL1,1.722353757050778e-05
ARC,EGR1,1.7258194063997317e-05
ATG10,ATG3,1.755541027541516e-05
PCGF6,UBAP2L,1.7663677087409953e-05
MRPL47,MRPL51,1.7822709223211616e-05
ATP2B3,SLC8A2,1.799541764244738e-05
C8G,C9,1.803393403357885e-05
PAXIP1,SUZ12,1.8074710136859795e-05
NDUFC1,NDUFS5,1.833576817834867e-05
CKS2,PLK1,1.843033382302883e-05
MRPL11,RPL18A,1.8436490373099637e-05
DDX20,NUP153,1.856333690284204e-05
RAD51B,RFC3,1.860274714069765e-05
CSPG5,DSEL,1.866905493604548e-05
GFI1B,MEGF8,1.8671357671563135e-05
EEF1A1,RPL13,1.8684091615520687e-05
COX10,COX7C,1.8782541257306597e-05
GIPR,POMC,1.8796639749350467e-05
LAMA1,PAK4,1.87996835508019e-05
GOLGA1,GOLGB1,1.882853924910347e-05
CHMP4C,MAP1LC3C,1.919844656681807e-05
ATP1B1,NKAIN1,1.920818316304654e-05
CNGB3,ELOVL4,1.92096001694828e-05
DDX20,STRAP,1.9289446741858873e-05
FOXM1,NEK2,1.9360590686750487e-05
DDX20,NCBP2,1.9524385775378115e-05
CUL1,FBXW11,1.957138820974997e-05
RAF1,SHOC2,1.965718524581741e-05
RAF1,YWHAQ,1.9699324107001968e-05
GCKR,NDC1,1.9837942688022193e-05
AK4,NT5M,1.986839264618287e-05
ACAD9,ACSF3,2.002012756971308e-05
CCNB3,MCM6,2.0088773106068386e-05
IQGAP1,RAF1,2.00987534013778e-05
TFB2M,WDR46,2.0147342901768587e-05
CHEK2,PPM1D,2.029353060485113e-05
TXNDC2,TXNRD1,2.034858772638143e-05
TWIST1,WDR5,2.0394316224745128e-05
AMFR,SEL1L,2.0447361367628325e-05
CCDC22,CUL5,2.047055219410354e-05
GOLGA1,RAB6A,2.0580150811993745e-05
CALR,HNRNPR,2.074320967950579e-05
AR,DCAF6,2.083996239653045e-05
C2CD4C,DLGAP3,2.0889885464479895e-05
F2,PROS1,2.095135511269111e-05
RPL7A,SURF1,2.1112686462603616e-05
DGAT1,DGAT2,2.1135006780613404e-05
RAD17,XRCC2,2.1225173825321745e-05
DDX20,RBL2,2.122854996152068e-05
FANCA,SPTAN1,2.139946839812936e-05
POLR2I,RTF1,2.153021925211134e-05
DCTN1,KLC2,2.1572561773235897e-05
RAF1,UBA52,2.1595354280682457e-05
MAGOHB,NUP160,2.167051973863541e-05
MRPL11,RPS23,2.1844325473564888e-05
HSP90AA1,RAF1,2.2050691897756578e-05
CAV3,SGCB,2.2364848842553614e-05
IKZF3,PAX5,2.2390813514719284e-05
ASH2L,PYGO2,2.2398773442159888e-05
DDX20,SNUPN,2.26425010983721e-05
MAPT,PIN1,2.292409528068869e-05
GATA3,SPI1,2.292824605940529e-05
PLD4,PTDSS2,2.296709460893722e-05
PLA2G15,PNPLA7,2.3317618864792888e-05
IDE,LONP2,2.347753307882933e-05
DDX58,RNF135,2.3536539019154384e-05
EXOSC4,EXOSC8,2.3571680097327635e-05
DNAJB13,HSPA1A,2.3584718845025537e-05
POLE3,RFC1,2.376715753438869e-05
GSPT1,SMG9,2.416847292197302e-05
AR,PRKACA,2.4325988402076583e-05
DSEL,TTBK1,2.4444021739032024e-05
F2,RAF1,2.4476973977932778e-05
